"","incident_number","exposure_number","alarm_date","alarm_time","incident_type","incident_description","estimated_property_loss","estimated_content_loss","district","city_section","neighborhood","zip","property_use","property_description","street_number","street_prefix","street_name","street_suffix","street_type","address_2","xstreet_prefix","xstreet_name","xstreet_suffix","xstreet_type","loss_sum","fire"
"93134","21-0031529",0,"2021-06-08","09:05:13","111","Building fire",5000,0,"01","EB","East Boston","02128","429","Multifamily dwelling","199","","FAYWOOD","","AVE","","","","","",5000,1
"93350","21-0031318",0,"2021-06-07","13:50:05","111","Building fire",50000,5000,"04","BO","Boston","02115","429","Multifamily dwelling","270","","HUNTINGTON","","AVE",": #AFA6782","","","","",55000,1
"93586","21-0031154",0,"2021-06-06","21:55:18","131","Passenger vehicle fire",3000,500,"08","MT","Mattapan","02126","960","Street, Other","115","","LORNA","","RD","","","","","",3500,1
"93628","21-0030694",0,"2021-06-05","08:37:32","111","Building fire",9000,1000,"09","RX","Roxbury","02121","439","Boarding/rooming house, residential hotels","123","","CRAWFORD","","ST","","","","","",10000,1
"93631","21-0030701",0,"2021-06-05","09:21:45","111","Building fire",5000,5000,"07","DO","Dorchester","02121","419","1 or 2 family dwelling","7","","ROCK","","TER","","","","","",10000,1
"93662","21-0030747",0,"2021-06-05","13:02:36","111","Building fire",10000,1500,"06","SB","South Boston","02127","429","Multifamily dwelling","9","","GATES","","ST","","","","","",11500,1
"93674","21-0030769",0,"2021-06-05","14:13:59","111","Building fire",20000,5000,"11","BR","Allston-Brighton","02134","439","Boarding/rooming house, residential hotels","89","","LINDEN","","ST","","","","","",25000,1
"93690","21-0030792",0,"2021-06-05","15:50:36","113","Cooking fire, confined to container",500,500,"09","RX","Roxbury","02115","429","Multifamily dwelling","25","","MISSION PARK","","DR","","","","","",1000,1
"93737","21-0030864",0,"2021-06-05","20:39:03","111","Building fire",1000,0,"08","DO","Dorchester","02124","429","Multifamily dwelling","57","","STRATTON","","ST","","","","","",1000,1
"93868","21-0030593",0,"2021-06-04","18:12:48","111","Building fire",75000,25000,"03","CH","Charlestown","02129","429","Multifamily dwelling","33","","THIRD","","AVE","","","","","",100000,1
"93893","21-0030645",0,"2021-06-04","23:57:28","131","Passenger vehicle fire",20000,0,"12","MT","Mattapan","02126","962","Residential street, road or residential driveway","","","WOOD","","AVE","","","CUMMINS","","HWY",20000,1
"93911","21-0030207",0,"2021-06-03","07:39:44","131","Passenger vehicle fire",500,0,"09","JP","Jamaica Plain","02130","965","Vehicle parking area","","","HEATH","","ST","","S","HUNTINGTON","","AVE",500,1
"94239","21-0029393",0,"2021-05-30","14:32:08","111","Building fire",35000,5000,"12","WR","West Roxbury","02132","419","1 or 2 family dwelling","103","","WREN","","ST","","","","","",40000,1
"94362","21-0029536",0,"2021-05-31","11:40:30","111","Building fire",0,10000,"12","WR","West Roxbury","02132","419","1 or 2 family dwelling","28","","BILLINGS","","ST","","","","","",10000,1
"94400","21-0029596",0,"2021-05-31","16:27:07","131","Passenger vehicle fire",500,0,"08","DO","Dorchester","02124","962","Residential street, road or residential driveway","32","","EVANS","","ST","","","","","",500,1
"94402","21-0029599",0,"2021-05-31","16:36:13","113","Cooking fire, confined to container",500,500,"09","RX","Roxbury","02115","429","Multifamily dwelling","835","","HUNTINGTON","","AVE","","","","","",1000,1
"94544","21-0029475",0,"2021-05-30","22:26:01","112","Fires in structure other than in a building",500,500,"11","BR","Allston-Brighton","02134","429","Multifamily dwelling","20","","ROYCE","","RD","","","","","",1000,1
"94590","21-0029168",0,"2021-05-29","09:58:13","111","Building fire",7000,3000,"04","BO","Boston","02115","429","Multifamily dwelling","64","","BURBANK","","ST","","","","","",10000,1
"94650","21-0029251",0,"2021-05-29","19:33:11","134","Water vehicle fire",30000,5000,"03","BO","Boston","02110","888","Fire station","20","","ROWES","","WHRF","","","","","",35000,1
"94863","21-0028825",0,"2021-05-27","15:36:05","111","Building fire",0,1000,"01","EB","East Boston","02128","429","Multifamily dwelling","186","","COTTAGE","","ST",": #WYN1313","","","","",1000,1
"94864","21-0028828",0,"2021-05-27","15:41:28","111","Building fire",20000,10000,"01","EB","East Boston","02128","429","Multifamily dwelling","186","","COTTAGE","","ST","","","","","",30000,1
"94961","21-0028503",0,"2021-05-26","11:07:33","111","Building fire",800000,0,"07","DO","Dorchester","02121","429","Multifamily dwelling","84","","FAYSTON","","ST","","","","","",800000,1
"94962","21-0028503",3,"2021-05-26","11:07:33","111","Building fire",20000,0,"07","","","02121","429","Multifamily dwelling","7","","MASCOMA","","ST","","","","","",20000,1
"94963","21-0028503",4,"2021-05-26","11:07:33","111","Building fire",5000,0,"07","","","02121","429","Multifamily dwelling","207","","QUINCY","","ST","","","","","",5000,1
"94964","21-0028503",1,"2021-05-26","11:07:33","111","Building fire",800000,0,"07","","","02121","429","Multifamily dwelling","82","","FAYSTON","","ST","","","","","",800000,1
"94965","21-0028503",2,"2021-05-26","11:07:33","111","Building fire",800000,0,"07","","","02121","429","Multifamily dwelling","86","","FAYSTON","","ST","","","","","",800000,1
"94975","21-0028516",0,"2021-05-26","12:23:55","113","Cooking fire, confined to container",1000,1000,"06","SB","South Boston","02127","429","Multifamily dwelling","76","","BAXTER","","ST","","","","","",2000,1
"95002","21-0028569",0,"2021-05-26","15:11:35","111","Building fire",10000,0,"08","DO","Dorchester","02124","429","Multifamily dwelling","5","","FULLER","","ST","","","","","",10000,1
"95059","21-0028654",0,"2021-05-26","20:41:26","111","Building fire",0,500,"07","DO","Dorchester","02125","419","1 or 2 family dwelling","135","E","COTTAGE","","ST","","","","","",500,1
"95170","21-0028353",0,"2021-05-25","16:48:48","111","Building fire",500000,1000,"03","BO","Boston","02114","429","Multifamily dwelling","37","","GARDEN","","ST","","","","","",501000,1
"95213","21-0028429",0,"2021-05-25","23:38:12","131","Passenger vehicle fire",5000,0,"12","HP","Hyde Park","02136","963","Street or road in commercial area","","","METROPOLITAN","","AVE","","","PROVIDENCE","","ST",5000,1
"95260","21-0028084",0,"2021-05-24","13:16:12","111","Building fire",50000,0,"06","SB","South Boston","02127","429","Multifamily dwelling","20","W","FIFTH","","ST","","","","","",50000,1
"95295","21-0028146",0,"2021-05-24","17:00:43","111","Building fire",30000,0,"07","DO","Dorchester","02121","429","Multifamily dwelling","77","","ELLINGTON","","ST","","","","","",30000,1
"95305","21-0028164",0,"2021-05-24","18:47:41","111","Building fire",1000,0,"08","DO","Dorchester","02124","429","Multifamily dwelling","56","","STANTON","","ST","","","","","",1000,1
"95324","21-0027860",0,"2021-05-23","11:15:45","131","Passenger vehicle fire",7000,0,"12","RS","Roslindale","02131","960","Street, Other","419","","POPLAR","","ST","","","","","",7000,1
"95327","21-0028202",0,"2021-05-24","23:35:37","111","Building fire",10000,0,"08","DO","Dorchester","02124","429","Multifamily dwelling","50","","WHEATLAND","","AVE","","","","","",10000,1
"95338","21-0027806",0,"2021-05-23","02:46:32","111","Building fire",40000,10000,"09","RX","Roxbury","02119","419","1 or 2 family dwelling","22","","DABNEY","","ST","","","","","",50000,1
"95515","21-0027651",0,"2021-05-22","13:31:06","111","Building fire",40000,10000,"07","DO","Dorchester","02125","429","Multifamily dwelling","364","","QUINCY","","ST","","","","","",50000,1
"95530","21-0027683",0,"2021-05-22","15:43:26","111","Building fire",15000,500,"11","BR","Allston-Brighton","02135","429","Multifamily dwelling","36","","ORKNEY","","RD","","","","","",15500,1
"95573","21-0027752",0,"2021-05-22","21:12:17","111","Building fire",100000,0,"04","BO","Boston","02111","429","Multifamily dwelling","660","","WASHINGTON","","ST","","","","","",100000,1
"95583","21-0027770",0,"2021-05-22","22:19:51","251","Excessive heat, scorch burns with no ignition",1000,0,"03","BO","Boston","02114","429","Multifamily dwelling","45","","MYRTLE","","ST","","","","","",1000,1
"95596","21-0027304",0,"2021-05-21","00:34:40","131","Passenger vehicle fire",31000,100,"03","CH","Charlestown","02129","215","High school/junior high school/middle school","","","EDEN","","ST","","","LUDLOW","","ST",31100,1
"95667","21-0027426",0,"2021-05-21","16:05:15","131","Passenger vehicle fire",30000,5000,"06","DO","Dorchester","02125","965","Vehicle parking area","150","","MOUNT VERNON","","ST","","","","","",35000,1
"95794","21-0027179",0,"2021-05-20","12:49:23","154","Dumpster or other outside trash receptacle fire",1000,1000,"08","MT","Mattapan","02126","429","Multifamily dwelling","32","","TEMPLE","","ST","","","","","",2000,1
"95818","21-0027232",0,"2021-05-20","16:13:09","142","Brush or brush-and-grass mixture fire",500,100,"01","EB","East Boston","02128","965","Vehicle parking area","246","","BORDER","","ST",": @SHAWS SUPERMARKET - 246 BORDER ST, EB","","","","",600,1
"95820","21-0027237",0,"2021-05-20","16:46:18","112","Fires in structure other than in a building",500,0,"01","EB","East Boston","02128","419","1 or 2 family dwelling","213","E","EAGLE","","ST","","","","","",500,1
"95825","21-0027250",0,"2021-05-20","17:42:22","160","Special outside fire, Other",1000,0,"04","RX","Roxbury","02120","124","Playground","","","SHAWMUT","","AVE","","","BALL","","ST",1000,1
"95949","21-0027005",0,"2021-05-19","17:27:03","111","Building fire",40000,0,"09","RX","Roxbury","02121","429","Multifamily dwelling","11","","RUTHVEN","","ST","","","","","",40000,1
"95963","21-0027029",0,"2021-05-19","19:11:15","131","Passenger vehicle fire",5000,0,"12","HP","Hyde Park","02136","962","Residential street, road or residential driveway","14","","CENTRAL","","AVE","","","","","",5000,1
"95999","21-0026620",0,"2021-05-18","01:17:22","111","Building fire",1000,0,"03","BO","Boston","02111","439","Boarding/rooming house, residential hotels","39","","KINGSTON","","ST",": @SHELTER-KINGSTON HOUSE - 39 KINGSTON","","","","",1000,1
"96097","21-0026769",0,"2021-05-18","16:54:25","113","Cooking fire, confined to container",5000,1000,"04","RX","Roxbury","02118","429","Multifamily dwelling","71","","LENOX","","ST","","","","","",6000,1
"96102","21-0026777",0,"2021-05-18","17:29:42","113","Cooking fire, confined to container",5000,1000,"04","RX","Roxbury","02118","429","Multifamily dwelling","71","","LENOX","","ST","","","","","",6000,1
"96304","21-0026255",0,"2021-05-16","10:52:42","113","Cooking fire, confined to container",0,2500,"03","CH","Charlestown","02129","429","Multifamily dwelling","25","","COREY","","ST","","","","","",2500,1
"96341","21-0026329",0,"2021-05-16","18:19:08","151","Outside rubbish, trash or waste fire",5000,0,"12","WR","West Roxbury","02132","557","Personal service, including barber & beauty shops","450-450R","","BELGRADE","","AVE","","","","","",5000,1
"96393","21-0026022",0,"2021-05-15","06:46:51","111","Building fire",300000,100000,"08","MT","Mattapan","02126","419","1 or 2 family dwelling","120","","HAZLETON","","ST","","","","","",400000,1
"96431","21-0026075",0,"2021-05-15","12:17:03","111","Building fire",4000,1000,"09","RX","Roxbury","02119","429","Multifamily dwelling","29","","SLAYTON","","WAY","","","","","",5000,1
"96535","21-0025821",0,"2021-05-14","09:10:32","111","Building fire",15000,5000,"11","BR","Allston-Brighton","02135","429","Multifamily dwelling","4","","WALLINGFORD","","RD","","","","","",20000,1
"96898","21-0025219",0,"2021-05-11","09:46:29","111","Building fire",300000,50000,"09","RX","Roxbury","02121","419","1 or 2 family dwelling","31","","NAZING","","ST","","","","","",350000,1
"96918","21-0025244",0,"2021-05-11","11:52:18","111","Building fire",50000,5000,"07","RX","Roxbury","02121","429","Multifamily dwelling","60","","BRUNSWICK","","ST","","","","","",55000,1
"96954","21-0025297",0,"2021-05-11","16:27:32","131","Passenger vehicle fire",21000,1000,"12","RS","Roslindale","02131","965","Vehicle parking area","700","","AMERICAN LEGION","","HWY",": @MCDONALDS - 718 AMERICAN LEGION HWY,","","","","",22000,1
"97008","21-0024997",0,"2021-05-10","05:50:15","131","Passenger vehicle fire",30000,1000,"03","BO","Boston","02114","961","Highway or divided highway","","","LEVERETT CIRCLE CONNECTOR","","",": @WB STORROW DR AT LEVERETT CIR","","","","",31000,1
"97023","21-0025020",0,"2021-05-10","09:32:40","111","Building fire",70000,5000,"08","DO","Dorchester","02122","519","Food and beverage sales, grocery store","777","","WILLIAM T MORRISSEY","","BLVD",": @LAMBERTS -777 WILLIAM T MORRISSEY BLV","","","","",75000,1
"97112","21-0024796",0,"2021-05-09","02:19:24","111","Building fire",100000,10000,"08","DO","Dorchester","02124","429","Multifamily dwelling","52","","NIXON","","ST","","","","","",110000,1
"97117","21-0024802",0,"2021-05-09","03:17:20","131","Passenger vehicle fire",8000,300,"08","DO","Dorchester","02124","962","Residential street, road or residential driveway","760","","MORTON","","ST","","","","","",8300,1
"97230","21-0024601",0,"2021-05-08","03:19:58","111","Building fire",5000,0,"06","SB","South Boston","02127","429","Multifamily dwelling","447","W","BROADWAY","","","","","","","",5000,1
"97247","21-0024634",0,"2021-05-08","09:00:26","111","Building fire",3000,0,"12","RS","Roslindale","02131","439","Boarding/rooming house, residential hotels","875","","CANTERBURY","","ST","","","","","",3000,1
"97300","21-0024720",0,"2021-05-08","16:53:50","131","Passenger vehicle fire",50000,0,"06","","","02118","961","Highway or divided highway","","","RAMP - RT 93 NB TO RT 90","","",": #MTA219","","","","",50000,1
"97310","21-0024739",0,"2021-05-08","19:12:44","138","Off-road vehicle or heavy equipment fire",20000,0,"12","HP","Hyde Park","02136","981","Construction site","912","","RIVER","","ST","","","","","",20000,1
"97428","21-0024561",0,"2021-05-07","21:11:44","111","Building fire",1000,1000,"07","DO","Dorchester","02121","511","Convenience store","120","","WASHINGTON","","ST","","","","","",2000,1
"97485","21-0024267",0,"2021-05-06","10:57:47","162","Outside equipment fire",10000,0,"08","DO","Dorchester","02124","962","Residential street, road or residential driveway","","","ASHTON","","ST","","","WOODROW","","AVE",10000,1
"97598","21-0024071",0,"2021-05-05","10:39:06","111","Building fire",3000,0,"11","BR","Allston-Brighton","02135","429","Multifamily dwelling","6","","BELLVISTA","","RD","","","","","",3000,1
"97783","21-0023982",0,"2021-05-04","21:18:12","113","Cooking fire, confined to container",0,700,"04","BO","Boston","02118","429","Multifamily dwelling","631","","TREMONT","","ST","","","","","",700,1
"97789","21-0023995",0,"2021-05-04","22:43:33","113","Cooking fire, confined to container",2000,0,"04","RX","Roxbury","02120","460","Dormitory-type residence, other","431","","MELNEA CASS","","BLVD","","","","","",2000,1
"97817","21-0023609",0,"2021-05-03","07:11:59","111","Building fire",250000,50000,"09","JP","Jamaica Plain","02130","429","Multifamily dwelling","20","","BOYLSTON","","ST","","","","","",300000,1
"97930","21-0023403",0,"2021-05-02","01:40:38","131","Passenger vehicle fire",21000,1000,"04","BO","Boston","02215","960","Street, Other","708","","COMMONWEALTH","","AVE","","","","","",22000,1
"97936","21-0023418",0,"2021-05-02","06:00:06","131","Passenger vehicle fire",10000,1000,"04","","","02118","961","Highway or divided highway","","","I93","S","",": #MTA244","","","","",11000,1
"97960","21-0023456",0,"2021-05-02","12:33:46","111","Building fire",10000,10000,"06","SB","South Boston","02127","429","Multifamily dwelling","11","W","BROADWAY","","",": #INS1180","","","","",20000,1
"97984","21-0023492",0,"2021-05-02","16:39:47","111","Building fire",10000,0,"11","BR","Allston-Brighton","02135","419","1 or 2 family dwelling","","","TIP TOP","","ST","","","TREMONT","","ST",10000,1
"98025","21-0023564",0,"2021-05-02","23:18:47","111","Building fire",500000,50000,"03","CH","Charlestown","02129","419","1 or 2 family dwelling","17","","ALLSTON","","ST","","","","","",550000,1
"98047","21-0023201",0,"2021-05-01","04:16:29","111","Building fire",0,1000,"04","BO","Boston","02118","429","Multifamily dwelling","42","","HARRISON ARCHWAYS","","","","","","","",1000,1
"98133","21-0023341",0,"2021-05-01","19:23:30","111","Building fire",3000,1000,"09","RX","Roxbury","02120","429","Multifamily dwelling","172","","FISHER","","AVE","","","","","",4000,1
"98203","21-0023028",0,"2021-04-30","12:35:29","131","Passenger vehicle fire",1000,0,"12","HP","Hyde Park","02136","962","Residential street, road or residential driveway","29","","DEFOREST","","ST","","","","","",1000,1
"98388","21-0022945",0,"2021-04-29","22:50:56","131","Passenger vehicle fire",2000,0,"04","BO","Boston","02199","961","Highway or divided highway","","","MASSACHUSETTS","E","TPKE",": @EB I90 AT EXIT 133 (OLD EXIT 22)","","","","",2000,1
"98448","21-0022674",0,"2021-04-28","13:24:38","111","Building fire",5000,5000,"07","DO","Dorchester","02121","881","Parking garage, (detached residential garage)","","","WOLCOTT","","ST","","","ERIE","","ST",10000,1
"98451","21-0022685",0,"2021-04-28","13:46:33","118","Trash or rubbish fire, contained",1000,100,"09","DO","Dorchester","02121","564","Laundry, dry cleaning","471","","BLUE HILL","","AVE","","","","","",1100,1
"98470","21-0022720",0,"2021-04-28","16:17:34","131","Passenger vehicle fire",8000,0,"08","DO","Dorchester","02124","960","Street, Other","754","","MORTON","","ST","","","","","",8000,1
"98539","21-0022388",0,"2021-04-27","10:32:05","111","Building fire",1000,0,"09","JP","Jamaica Plain","02130","429","Multifamily dwelling","89","","FOREST HILLS","","ST","","","","","",1000,1
"98562","21-0022420",0,"2021-04-27","12:50:08","111","Building fire",17000,5000,"06","SB","South Boston","02127","131","Church, mosque, synagogue, temple, chapel","655","","DORCHESTER","","AVE",": @CH-OUR LADY OF CZESTOCHOWA PARISH - 6","","","","",22000,1
"98574","21-0022437",0,"2021-04-27","13:42:57","111","Building fire",20000,20000,"06","SB","South Boston","02127","429","Multifamily dwelling","54","","BOSTON","","ST","","","","","",40000,1
"98697","21-0022242",0,"2021-04-26","13:17:13","111","Building fire",2500,2500,"09","RX","Roxbury","02115","429","Multifamily dwelling","779","","HUNTINGTON","","AVE","","","","","",5000,1
"98719","21-0022295",0,"2021-04-26","18:40:06","112","Fires in structure other than in a building",5000,2000,"06","SB","South Boston","02127","519","Food and beverage sales, grocery store","21","","A","","ST","","","","","",7000,1
"98759","21-0022029",0,"2021-04-25","06:44:26","111","Building fire",0,5000,"07","DO","Dorchester","02125","429","Multifamily dwelling","46","","MAGNOLIA","","ST","","","","","",5000,1
"98894","21-0021883",0,"2021-04-24","15:15:18","111","Building fire",100000,0,"07","DO","Dorchester","02122","429","Multifamily dwelling","16","","LESLIE","","ST","","","","","",100000,1
"98897","21-0021887",0,"2021-04-24","15:49:02","111","Building fire",50000,50000,"12","RS","Roslindale","02131","419","1 or 2 family dwelling","61","","CLIFFMONT","","ST","","","","","",100000,1
"99004","21-0021633",0,"2021-04-23","11:16:31","118","Trash or rubbish fire, contained",1000,0,"08","DO","Dorchester","02124","429","Multifamily dwelling","69","","MORA","","ST","","","","","",1000,1
"99073","21-0021761",0,"2021-04-23","21:23:40","131","Passenger vehicle fire",2000,0,"08","DO","Dorchester","02124","960","Street, Other","1876","","DORCHESTER","","AVE","","","","","",2000,1
"99146","21-0021444",0,"2021-04-22","13:13:14","111","Building fire",50000,5000,"08","DO","Dorchester","02124","419","1 or 2 family dwelling","34","","AVONDALE","","ST","","","","","",55000,1
"99215","21-0021134",0,"2021-04-21","00:13:36","111","Building fire",500,0,"07","DO","Dorchester","02125","429","Multifamily dwelling","4","","TRENT","","ST","","","","","",500,1
"99231","21-0021159",0,"2021-04-21","06:12:45","112","Fires in structure other than in a building",0,1000,"06","DO","Dorchester","02125","647","Water utility","50","","HARBOR POINT","","BLVD","","","","","",1000,1
"99265","21-0021214",0,"2021-04-21","12:02:21","113","Cooking fire, confined to container",0,1000,"09","RX","Roxbury","02120","429","Multifamily dwelling","100","","CABOT","","ST","","","","","",1000,1
"99334","21-0021333",0,"2021-04-21","22:06:33","131","Passenger vehicle fire",7000,3000,"07","DO","Dorchester","02124","960","Street, Other","34","","LINDSEY","","ST","","","","","",10000,1
"99401","21-0020968",0,"2021-04-20","12:57:43","111","Building fire",1000,0,"09","RS","Roslindale","02131","429","Multifamily dwelling","27","","TAFTHILL","","TER","","","","","",1000,1
"99534","21-0020723",0,"2021-04-19","12:50:33","131","Passenger vehicle fire",5000,0,"08","DO","Dorchester","02122","962","Residential street, road or residential driveway","55","","MANOR","","ST","","","","","",5000,1
"99692","21-0020621",0,"2021-04-18","19:43:00","131","Passenger vehicle fire",30000,0,"04","BO","Boston","02118","960","Street, Other","","","SHAWMUT","","AVE","","","HERALD","","ST",30000,1
"99830","21-0020091",0,"2021-04-16","04:37:45","111","Building fire",20000,80000,"09","JP","Jamaica Plain","02130","419","1 or 2 family dwelling","10","","WARREN","","SQ","","","","","",100000,1
"99946","21-0020257",0,"2021-04-16","18:14:00","114","Chimney or flue fire, confined to chimney or flue",1000,0,"09","WR","West Roxbury","02132","419","1 or 2 family dwelling","16","","COURTNEY","","RD","","","","","",1000,1
"99964","21-0020282",0,"2021-04-16","21:58:20","113","Cooking fire, confined to container",0,500,"08","MT","Mattapan","02126","419","1 or 2 family dwelling","4","","WOODRUFF","","WAY","","","","","",500,1
"100059","21-0020005",0,"2021-04-15","15:51:57","111","Building fire",500,0,"04","BO","Boston","02115","429","Multifamily dwelling","54","","BURBANK","","ST","","","","","",500,1
"100077","21-0019749",0,"2021-04-14","14:01:58","111","Building fire",1000,500,"09","JP","Jamaica Plain","02130","429","Multifamily dwelling","67","","ELM","","ST","","","","","",1500,1
"100200","21-0019806",0,"2021-04-14","18:36:33","118","Trash or rubbish fire, contained",500,0,"09","RX","Roxbury","02120","429","Multifamily dwelling","34","","ANNUNCIATION","","RD",": #14-2335","","","","",500,1
"100207","21-0019823",0,"2021-04-14","19:32:28","113","Cooking fire, confined to container",500,0,"03","BO","Boston","02113","429","Multifamily dwelling","24","","CHARTER","","ST","","","","","",500,1
"100310","21-0019550",0,"2021-04-13","16:48:17","111","Building fire",4000,1000,"08","DO","Dorchester","02124","419","1 or 2 family dwelling","261","","NORWELL","","ST","","","","","",5000,1
"100477","21-0019103",0,"2021-04-11","09:48:44","151","Outside rubbish, trash or waste fire",1000,1,"04","BO","Boston","02215","962","Residential street, road or residential driveway","212","","BAY STATE","","RD","","","","","",1001,1
"100484","21-0019111",0,"2021-04-11","11:18:21","131","Passenger vehicle fire",6000,0,"09","RX","Roxbury","02119","965","Vehicle parking area","115","","WARREN","","ST",": @BOYS & GIRLS CLUBS OF BOSTON (ROXBURY","","","","",6000,1
"100511","21-0019161",0,"2021-04-11","16:15:18","111","Building fire",80000,0,"08","DO","Dorchester","02124","429","Multifamily dwelling","","","Alpha","","RD","","","PARK","","ST",80000,1
"100515","21-0019167",0,"2021-04-11","17:06:20","111","Building fire",25000,0,"11","BR","Allston-Brighton","02135","419","1 or 2 family dwelling","63","","RIVERVIEW","","RD","","","","","",25000,1
"100525","21-0019184",0,"2021-04-11","18:38:00","111","Building fire",150000,20000,"12","HP","Hyde Park","02136","429","Multifamily dwelling","100","","GORDON","","AVE","","","","","",170000,1
"100579","21-0018879",0,"2021-04-10","10:23:17","111","Building fire",0,2000,"11","BR","Allston-Brighton","02135","564","Laundry, dry cleaning","144","","TREMONT","","ST","","","","","",2000,1
"100648","21-0018995",0,"2021-04-10","18:27:28","131","Passenger vehicle fire",500,500,"06","","","02118","965","Vehicle parking area","","","BRADSTON","","ST",": EST ATKINSON ST/BRADSTON ST RX BSTN","","","","",1000,1
"100734","21-0018685",0,"2021-04-09","12:53:17","111","Building fire",15000,10000,"03","BO","Boston","02114","429","Multifamily dwelling","96-120","","BEVERLY","","ST",": #12-1314","","","","",25000,1
"100752","21-0018728",0,"2021-04-09","16:32:43","131","Passenger vehicle fire",0,1000,"07","RX","Roxbury","02119","900","Outside or special property, Other","","","JARVIS","","PL","","","GEORGE","","ST",1000,1
"100968","21-0018114",0,"2021-04-07","01:18:25","111","Building fire",20000,1000,"06","SB","South Boston","02210","400","Residential, Other","5","","FAN PIER","","BLVD","","","","","",21000,1
"100999","21-0018162",0,"2021-04-07","09:33:59","111","Building fire",500,0,"07","RX","Roxbury","02119","400","Residential, Other","1148","","HARRISON","","AVE","","","","","",500,1
"101087","21-0018308",0,"2021-04-07","19:24:58","113","Cooking fire, confined to container",1000,1000,"09","RX","Roxbury","02121","429","Multifamily dwelling","28","","DECKARD","","ST","","","","","",2000,1
"101236","21-0018098",0,"2021-04-06","22:30:22","111","Building fire",10000,5000,"07","DO","Dorchester","02125","519","Food and beverage sales, grocery store","1086","","DORCHESTER","","AVE","","","","","",15000,1
"101250","21-0017733",0,"2021-04-05","02:48:27","131","Passenger vehicle fire",1000,1000,"09","RX","Roxbury","02115","962","Residential street, road or residential driveway","346","","BROOKLINE","","AVE","","","","","",2000,1
"101276","21-0017782",0,"2021-04-05","11:29:10","131","Passenger vehicle fire",7000,0,"07","DO","Dorchester","02121","960","Street, Other","646","","BLUE HILL","","AVE","","","","","",7000,1
"101299","21-0017830",0,"2021-04-05","15:32:02","151","Outside rubbish, trash or waste fire",8000,0,"12","JP","Jamaica Plain","02130","807","Outside material storage area","3686","","WASHINGTON","","ST","","","","","",8000,1
"101318","21-0017862",0,"2021-04-05","17:47:01","111","Building fire",5000,0,"07","DO","Dorchester","02121","429","Multifamily dwelling","16","","FERNBORO","","ST","","","","","",5000,1
"101393","21-0017587",0,"2021-04-04","12:19:29","111","Building fire",15000,4000,"12","HP","Hyde Park","02136","419","1 or 2 family dwelling","73","","DEFOREST","","ST","","","","","",19000,1
"101453","21-0017706",0,"2021-04-04","22:38:53","113","Cooking fire, confined to container",5000,3000,"11","BR","Allston-Brighton","02135","400","Residential, Other","28","","WALLINGFORD","","RD",": #14-5331","","","","",8000,1
"101641","21-0017257",0,"2021-04-02","17:19:51","111","Building fire",1000,1000,"08","DO","Dorchester","02124","807","Outside material storage area","776","","WASHINGTON","","ST",": @YMCA-DORCHESTER - 776 WASHINGTON ST,","","","","",2000,1
"101642","21-0017257",1,"2021-04-02","17:19:51","111","Building fire",3000,0,"08","","","02124","141","Athletic/health club","776","","WASHINGTON","","ST",": @YMCA-DORCHESTER - 776 WASHINGTON ST,","","","","",3000,1
"101655","21-0017280",0,"2021-04-02","19:23:57","113","Cooking fire, confined to container",500,0,"12","HP","Hyde Park","02136","400","Residential, Other","204","","NEPONSET VALLEY","","PKWY","","","","","",500,1
"101704","21-0016975",0,"2021-04-01","07:31:42","116","Fuel burner/boiler malfunction, fire confined",5000,2000,"11","BR","Allston-Brighton","02135","400","Residential, Other","1691","","COMMONWEALTH","","AVE","","","","","",7000,1
"101853","21-0016825",0,"2021-03-31","12:19:16","111","Building fire",10000,0,"03","BO","Boston","02114","808","Outbuilding or shed","125","","NASHUA","","ST","","","","","",10000,1
"101858","21-0016833",0,"2021-03-31","12:42:09","111","Building fire",3000,0,"07","DO","Dorchester","02125","429","Multifamily dwelling","29","","GLENDALE","","ST","","","","","",3000,1
"101889","21-0016899",0,"2021-03-31","18:41:00","111","Building fire",175000,10000,"08","DO","Dorchester","02124","419","1 or 2 family dwelling","25","","LYNDHURST","","ST","","","","","",185000,1
"101953","21-0016596",0,"2021-03-30","11:37:14","111","Building fire",0,500,"12","HP","Hyde Park","02136","400","Residential, Other","16","","PERKINS","","AVE","","","","","",500,1
"101986","21-0016673",0,"2021-03-30","17:40:30","113","Cooking fire, confined to container",500,0,"04","BO","Boston","02116","400","Residential, Other","130","","DARTMOUTH","","ST","","","","","",500,1
"102078","21-0016438",0,"2021-03-29","14:10:20","132","Road freight or transport vehicle fire",1000,1000,"04","BO","Boston","02111","174","Rapid transit station","199","","SUMMER","","ST",": @MBTA STA-SOUTH STATION TRAIN","","","","",2000,1
"102121","21-0016500",0,"2021-03-29","20:00:16","111","Building fire",1000,500,"11","BR","Allston-Brighton","02134","400","Residential, Other","10","","BRAINERD","","RD","","","","","",1500,1
"102150","21-0016181",0,"2021-03-28","03:31:06","111","Building fire",1000,0,"07","DO","Dorchester","02122","429","Multifamily dwelling","10","","NAVILLUS","","TER","","","","","",1000,1
"102249","21-0015952",0,"2021-03-27","01:12:20","111","Building fire",10000,0,"08","DO","Dorchester","02124","429","Multifamily dwelling","51","","SHEPTON","","ST","","","","","",10000,1
